FormID, EditorID, Description, Icon
0x0002AA26,"LS_GeneralGameplay02","Anger someone you shouldn't have? Leave the area for a day (though if you have a high bounty, local guards will still remember what you did).","Data\textures\interface\loadscreens\generic\general\starfield_general_009_color.dds"
0x0003E1E4,"LS_ShipCriticalHit","Critical hits against an enemy ship can rarely kill its entire crew, leaving it ""dead in the water.""  ","Data\textures\interface\loadscreens\generic\starfield_destruction_color.dds"
0x0005B3D3,"LS_LoreTimeline02","History of the Settled Systems - Sol Date: 2176\nWith production of the psychotropic chem Aurora in full swing, the enormous Xenofresh Industries fishing rig becomes the pleasure city of Neon.","Data\textures\interface\loadscreens\generic\neon\starfield_neon_002_color.dds"
0x0005B3D4,"LS_LoreTimeline03","History of the Settled Systems - Sol Date: 2196-2216\nThe United Colonies moves a starstation into the neutral system of Narion, sparking a war with the Freestar Collective that drags on for 16 years.","Data\textures\interface\loadscreens\generic\dungeon\starfield_mechgraveyard_031_color.dds"
0x0005B3D5,"LS_LoreTimeline04","History of the Settled Systems - Sol Date: 2308-2311\nWhen the United Colonies accuses the Freestar Collective of violating the Treaty of Narion, the result is the short, bloody, vindictive Colony War.","Data\textures\interface\loadscreens\generic\general\starfield_general_073_color.dds"
0x0005B3D6,"LS_LoreTimeline05","History of the Settled Systems - Sol Date: 2240-2263\nHouse Va'ruun wages the Serpent's Crusade, a campaign of open violence against every other faction in the Settled Systems.","Data\textures\interface\loadscreens\generic\space\starfield_space_062_color.dds"
0x0005B3D7,"LS_LoreTimeline06","History of the Settled Systems - Sol Date: 2241\nAfter leading a successful revolt and escape from the prison on Suvorov, Jasper Kryx dubs his new collection of stolen ships the Crimson Fleet.","Data\textures\interface\loadscreens\generic\space\starfield_space_041_color.dds"
0x0005B3D8,"LS_LoreTimeline07","History of the Settled Systems - Sol Date: 2275\nSebastian Banks, ancestor of explorer John Banks, founds Constellation, an organization dedicated to the exploration of the Milky Way galaxy.","Data\textures\interface\loadscreens\generic\lodge\starfield_lodge_001_color.dds"
0x0005B3D9,"LS_LoreTimeline08","History of the Settled Systems - Sol Date: 2315\nThe United Colonies founds the UC Vanguard, a privateer navy utilizing independent captains piloting their own ships.","Data\textures\interface\loadscreens\generic\general\starfield_general_015_color.dds"
0x0005B3DA,"LS_LoreTimeline10","History of the Settled Systems - Sol Date: 2311\nRyujin Industries completes construction of Ryujin Tower in Neon, firmly establishing itself as the most powerful megacorp in the Settled Systems. ","Data\textures\interface\loadscreens\generic\general\starfield_general_022_color.dds"
0x0005B3DB,"LS_LoreTimeline09","History of the Settled Systems - Sol Date: 2231\nThe Freestar Collective Council of Governors votes to create the Freestar Rangers, a law enforcement agency with far-reaching authority.","Data\textures\interface\loadscreens\generic\akila\starfield_akila_004_color.dds"
0x0006587B,"LS_Ship47","You can trade with most civilian starships by hailing them.","Data\textures\interface\loadscreens\generic\space\starfield_space_046_color.dds"
0x00070E72,"LS_SpacesuitResistance","Spacesuit resistances are less effective in extreme environments and weather.","Data\textures\interface\loadscreens\generic\general\starfield_general_059_color.dds"
0x0007C499,"LS_Ship44","Your ship's target reticle will briefly pulse red whenever you inflict hull damage on the enemy.","Data\textures\interface\loadscreens\generic\space\starfield_space_061_color.dds"
0x0007C49A,"LS_Ship45","Your ship's target reticle will briefly pulse blue whenever you inflict shield damage on the enemy.","Data\textures\interface\loadscreens\generic\landscape\starfield_landscape_014_color.dds"
0x0007C49B,"LS_Ship46","The most valuable items on any enemy ship are stored in the Captain's Locker, located in the cockpit.","Data\textures\interface\loadscreens\generic\space\starfield_space_066_color.dds"
0x000C8C97,"LS_VS_NE_Lodge","Built in 2275 by Constellation founder Sebastian Banks, the Lodge serves as the organization's headquarters, and home to any member who needs one.","Data\textures\interface\loadscreens\generic\general\starfield_general_012_color.dds"
0x000C8C98,"LS_VS_NE_MASTDistrict","The MAST district was named for the Military, Administrative and Scientific Triumvirate building, which stands as not only the center of New Atlantis, but the United Colonies as a whole.","Data\textures\interface\loadscreens\generic\general\starfield_general_073_color.dds"
0x000C8C99,"LS_VS_NE_SpaceportDistrict","The Spaceport District of New Atlantis sees more space traffic than anywhere else in the Settled Systems, and the NAT train allows visitors and citizens alike to quickly visit any other area of the city.","Data\textures\interface\loadscreens\generic\general\starfield_general_025_color.dds"
0x000C8C9A,"LS_VS_NewAtlantis","New Atlantis is the capital of the United Colonies. It was founded in 2156, the same year humans first reached Alpha Centauri and set down on the planet they named Jemison.","Data\textures\interface\loadscreens\generic\general\starfield_general_011_color.dds"
0x000C8C9B,"LS_VS_AbandonedBases","The Settled Systems is littered with abandoned outposts, bases and research stations, most of them military leftovers from the two great galactic wars.","Data\textures\interface\loadscreens\generic\outpost\starfield_outpost_023_color.dds"
0x000C8C9C,"LS_VS_Planets_Moons","Vectera is but one of the hundreds of planets and moons in the Settled Systems, many of which hold untold adventure, mystery... and danger.","Data\textures\interface\loadscreens\generic\landscape\starfield_landscape_012_color.dds"
0x000C8C9D,"LS_VS_CrimsonFleet","The Crimson Fleet is a loose confederation of independent pirate groups that frequently cause trouble throughout the Settled Systems.","Data\textures\interface\loadscreens\generic\starfield_destruction_color.dds"
0x000CFF75,"LS_Outposts17","Outposts can be built throughout the Settled Systems, on any planet or moon with a solid surface.","Data\textures\interface\loadscreens\generic\landscape\starfield_landscape_018_color.dds"
0x00133064,"LS_GeneralGameplay08","The chem Synapse Alpha will temporarily lower the cost of any research you need to conduct.","Data\textures\interface\loadscreens\generic\general\starfield_general_034_color.dds"
0x001603FC,"LS_WeaponMod01","Adding Electromagnetic Beams to any energy weapon will change the deadly effect of its beam to a non-lethal stun.","Data\textures\interface\loadscreens\generic\dungeon\starfield_dungeon_029_color.dds"
0x00185666,"LS_Stealth02","Enemies may investigate nearby explosions and projectile impacts.","Data\textures\interface\loadscreens\generic\dungeon\starfield_dungeon_022_color.dds"
0x00185667,"LS_Smuggling04","The Payloads skill will make guard ships less likely to detect contraband.","Data\textures\interface\loadscreens\generic\space\starfield_space_045_color.dds"
0x00185668,"LS_Smuggling03","The closer your contraband weight is to your ship's Shielded Cargo capacity, the more likely it is to be detected by a contraband scan.","Data\textures\interface\loadscreens\generic\space\starfield_space_054_color.dds"
0x00185669,"LS_Smuggling02","Only contraband in your ship's cargo hold will be protected by its Shielded Cargo capacity. ","Data\textures\interface\loadscreens\generic\general\starfield_general_034_color.dds"
0x0018566A,"LS_Smuggling01","If you are carrying contraband in your personal inventory, it will always be detected by a contraband scan.","Data\textures\interface\loadscreens\generic\eye\starfield_eye_001_color.dds"
0x0018566B,"LS_Outposts16","The Zoology skill reduces the number of times you need to scan animals and reveal additional information about them, like strengths and weaknesses.","Data\textures\interface\loadscreens\generic\general\starfield_general_045_color.dds"
0x0018566C,"LS_Outposts15","The Zoology skill allows you to produce organic resources from native creatures at your outposts.","Data\textures\interface\loadscreens\generic\general\starfield_general_047_color.dds"
0x0018566D,"LS_Outposts14","If you have an outpost containing fuel (He3) it will extend the range your ship can go in a single plotted Grav Jump.","Data\textures\interface\loadscreens\generic\general\starfield_general_003_color.dds"
0x0018566E,"LS_Outposts13","You can use output links to move resources from Extractors and Builders into storage containers.","Data\textures\interface\loadscreens\generic\outpost\starfield_outpost_023_color.dds"
0x0018566F,"LS_Outposts12","Use output links to supply outpost Builders with the resources they need to produce. ","Data\textures\interface\loadscreens\generic\outpost\starfield_outpost_065_color.dds"
0x00185670,"LS_Outposts11","Use cargo links to move resources from one outpost to another.","Data\textures\interface\loadscreens\generic\outpost\starfield_outpost_065_color.dds"
0x00185671,"LS_Outposts10","The Outpost Engineering skill allows you to research more advanced outpost objects to build.","Data\textures\interface\loadscreens\generic\outpost\starfield_outpost_026_color.dds"
0x00185672,"LS_Outposts09","The Surveying skill reduces the number of scans needed to gain information from plants. The higher the skill, the fewer the scans that are needed.","Data\textures\interface\loadscreens\generic\general\starfield_general_046_color.dds"
0x00185673,"LS_Outposts08","A higher Surveying skill increases the range of your hand scanner.","Data\textures\interface\loadscreens\generic\general\starfield_general_002_color.dds"
0x00185674,"LS_Outposts07","A higher Scanning skill lets you see the location of rarer resources when scanning a planet from orbit.","Data\textures\interface\loadscreens\generic\outpost\starfield_outpost_026_color.dds"
0x00185675,"LS_Outposts06","A higher Outpost Management skill allows you to build more Crew Stations.","Data\textures\interface\loadscreens\generic\outpost\starfield_outpost_023_color.dds"
0x00185676,"LS_Outposts05","Build Crew Stations to assign crew to your outposts. ","Data\textures\interface\loadscreens\generic\landscape\starfield_landscape_017_color.dds"
0x00185677,"LS_Outposts04","Build a Transfer Container at your outpost to allow you to transfer cargo between your ship and your outpost.","Data\textures\interface\loadscreens\generic\outpost\starfield_outpost_065_color.dds"
0x00185678,"LS_Outposts03","Build a Scan Booster at your outpost to greatly increase the range of your hand scanner.","Data\textures\interface\loadscreens\generic\landscape\starfield_landscape_014_color.dds"
0x00185679,"LS_Outposts02","The Botany skill reduces the number of times you need to scan plants, and allows you to reveal whether they can be domesticated at your outposts.","Data\textures\interface\loadscreens\generic\outpost\starfield_outpost_026_color.dds"
0x0018567A,"LS_Crime03","You can yield to guards if you holster your weapon immediately after starting a fight with them.","Data\textures\interface\loadscreens\generic\landscape\starfield_landscape_017_color.dds"
0x0018567B,"LS_Crime02","You can hail guard ships in combat if you want to surrender to them.","Data\textures\interface\loadscreens\generic\space\starfield_space_041_color.dds"
0x0018567C,"LS_Outposts01","The Botany skill allows you to produce organic resources from native plants at your outposts.","Data\textures\interface\loadscreens\generic\outpost\starfield_outpost_023_color.dds"
0x0018567E,"LS_TridentLL01","Trident Luxury Lines offers some of the best tours of the Settled Systems.","Data\textures\interface\loadscreens\generic\general\starfield_general_041_color.dds"
0x0018567F,"LS_Taiyo02","Taiyo Astroneering fans love the manufacturer's marriage of form and function. Their ships are regarded by enthusiasts as works of art.","Data\textures\interface\loadscreens\generic\space\starfield_space_060_color.dds"
0x00185680,"LS_Taiyo01","Taiyo has excelled at creating a dedicated audience that anxiously await the next year's model.","Data\textures\interface\loadscreens\generic\space\starfield_space_055_color.dds"
0x00185681,"LS_StroudEklund02","Stroud-Eklund's ships are revolutionary in many ways, but intense competition has leveled the playing field.","Data\textures\interface\loadscreens\generic\starfield_gravjump_color.dds"
0x00185682,"LS_StroudEklund01","Stroud-Eklund has quickly become a major new ship manufacturer, thanks to a huge influx of start-up capital.","Data\textures\interface\loadscreens\generic\lodge\starfield_lodge_004_color.dds"
0x00185683,"LS_HopeTech03","Ron Hope was a blue-collar deep space hauler who spent his life savings to establish HopeTech.","Data\textures\interface\loadscreens\generic\space\starfield_space_042_color.dds"
0x00185684,"LS_HopeTech02","HopeTech's marketing proudly refers to their ships as ""Trucks in space!""","Data\textures\interface\loadscreens\generic\space\starfield_space_040_color.dds"
0x00185685,"LS_HopeTech01","HopeTech's ships may not be glamorous, but they are dependable. The ship of choice for cargo hauling.","Data\textures\interface\loadscreens\generic\space\starfield_space_066_color.dds"
0x00185686,"LS_Deimos02","Deimos Staryard has manufactured military starships for the United Colonies for over a century.","Data\textures\interface\loadscreens\generic\space\starfield_space_002_color.dds"
0x00185687,"LS_Deimos01","Although Deimos Staryard is closely tied to the United Colonies, they sell their ships to everyone.","Data\textures\interface\loadscreens\generic\space\starfield_space_058_color.dds"
0x00185688,"LS_Skill62","The Zoology skill gives you a chance to find rarer components from creatures.","Data\textures\interface\loadscreens\generic\starfield_creature_030_color.dds"
0x00185689,"LS_Skill61","The Wellness skill increases your maximum Health.","Data\textures\interface\loadscreens\generic\landscape\starfield_landscape_037_color.dds"
0x0018568A,"LS_Skill60","The Weight Lifting skill increases your total carrying capacity.","Data\textures\interface\loadscreens\generic\general\starfield_general_050_color.dds"
0x0018568B,"LS_Skill59","The Automated Weapon Systems skill increases your ship's turret damage. ","Data\textures\interface\loadscreens\generic\general\starfield_general_036_color.dds"
0x0018568C,"LS_Skill58","The Theft skill allows you to pickpocket items from people. The final rank allows you to steal equipped weapons.","Data\textures\interface\loadscreens\generic\neon\starfield_neon_001_color.dds"
0x0018568D,"LS_Skill57","The Targeting Control Systems skill reduces the time it takes to lock on to an enemy target.","Data\textures\interface\loadscreens\generic\general\starfield_general_035_color.dds"
0x0018568E,"LS_Skill56","The Targeting skill increases accuracy and range when firing from the hip.","Data\textures\interface\loadscreens\generic\dungeon\starfield_dungeon_027_color.dds"
0x0018568F,"LS_Skill55","The Stealth skill makes it more difficult for enemies to detect you.","Data\textures\interface\loadscreens\generic\dungeon\starfield_mechgraveyard_031_color.dds"
0x00185690,"LS_Skill54","The Starship Engineering skill increases your ship's repair speed.","Data\textures\interface\loadscreens\generic\space\starfield_space_019_color.dds"
0x00185691,"LS_Skill53","The Sniper Certification skill increases scoped weapon aim stability, breath hold time, and damage.","Data\textures\interface\loadscreens\generic\landscape\starfield_landscape_014_color.dds"
0x00185692,"LS_Skill52","The Shotgun Certification skill increases the damage of shotguns.","Data\textures\interface\loadscreens\generic\general\starfield_general_047_color.dds"
0x00185693,"LS_Skill51","The Ship Command skill allows for a larger complement of crew on your spaceship.","Data\textures\interface\loadscreens\generic\landscape\starfield_landscape_017_color.dds"
0x00185694,"LS_Skill50","The Shield Systems skill increases your ship's total shield capacity.","Data\textures\interface\loadscreens\generic\space\starfield_space_002_color.dds"
0x00185695,"LS_Skill49","The Sharpshooting skill increases headshot and critical hit damage. ","Data\textures\interface\loadscreens\generic\dungeon\starfield_dungeon_021_color.dds"
0x00185696,"LS_Skill48","The Security skill allows improved terminals and electronic locks to be hacked.","Data\textures\interface\loadscreens\generic\eye\starfield_eye_002_color.dds"
0x00185697,"LS_Skill47","The Scanning skill gives you a chance to find rarer inorganic resources on planets.","Data\textures\interface\loadscreens\generic\landscape\starfield_landscape_008_color.dds"
0x00185698,"LS_Skill46","The Rifle Certification skill increases the damage of rifles.","Data\textures\interface\loadscreens\generic\outpost\starfield_outpost_023_color.dds"
0x00185699,"LS_Skill45","The Rejuvenation skill increases the recovery speed of health.","Data\textures\interface\loadscreens\generic\eye\starfield_eye_004_color.dds"
0x0018569A,"LS_Skill44","The Rapid Reloading skill increases your reload speed.","Data\textures\interface\loadscreens\generic\general\starfield_general_053_color.dds"
0x0018569C,"LS_Skill42","The Pistol Certification skill increases the damage of pistols.","Data\textures\interface\loadscreens\generic\dungeon\starfield_dungeon_029_color.dds"
0x0018569D,"LS_Skill41","The Piloting skill unlocks lateral thrusters and allows you to pilot more advanced ships. ","Data\textures\interface\loadscreens\generic\space\starfield_space_059_color.dds"
0x0018569E,"LS_Skill40","The Persuasion skill improves your chances of winning someone over in dialogue.","Data\textures\interface\loadscreens\generic\neon\starfield_neon_013_color.dds"
0x0018569F,"LS_Skill39","The Payloads skill increases the cargo space on your ship. ","Data\textures\interface\loadscreens\generic\landscape\starfield_landscape_017_color.dds"
0x001856A0,"LS_Skill38","The Particle Beams skill increases the damage of particle beam weapons.","Data\textures\interface\loadscreens\generic\general\starfield_general_045_color.dds"
0x001856A1,"LS_Skill37","The Particle Beam Weapon Systems skill increases the damage of your ship's particle beam weapons. ","Data\textures\interface\loadscreens\generic\space\starfield_space_063_color.dds"
0x001856A2,"LS_Skill36","The Pain Tolerance skill decreases physical damage taken.","Data\textures\interface\loadscreens\generic\dungeon\starfield_dungeon_032_color.dds"
0x001856A3,"LS_Skill35","The Outpost Management skill allows you to improve your outposts by placing additional cargo links, building more robots, hiring additional crew, and more.","Data\textures\interface\loadscreens\generic\outpost\starfield_outpost_023_color.dds"
0x001856A4,"LS_Skill34","The Nutrition skill makes food and drink more effective.","Data\textures\interface\loadscreens\generic\lodge\starfield_lodge_001_color.dds"
0x001856A5,"LS_Skill33","The Neurostrikes skill gives a chance to stun and increase EM damage to an enemy.","Data\textures\interface\loadscreens\generic\dungeon\starfield_dungeon_027_color.dds"
0x001856A6,"LS_Skill32","The Negotiation skill allows you to bribe people to persuade them.","Data\textures\interface\loadscreens\generic\neon\starfield_neon_010_color.dds"
0x001856A7,"LS_Skill31","The Missile Weapon Systems skill increases damage from ship missile weapons. ","Data\textures\interface\loadscreens\generic\space\starfield_space_040_color.dds"
0x001856A9,"LS_Skill29","The Medicine skill increases the amount of healing provided by Med Packs, Trauma Packs, and Emergency Kits.","Data\textures\interface\loadscreens\generic\dungeon\starfield_dungeon_022_color.dds"
0x001856AA,"LS_Skill28","The Martial Arts skill allows unarmed attacks to stagger and disarm an opponent.","Data\textures\interface\loadscreens\generic\dungeon\starfield_dungeon_021_color.dds"
0x001856AB,"LS_Skill27","The Marksmanship skill increases the critical hit chance for non-automatic ranged weapons. ","Data\textures\interface\loadscreens\generic\dungeon\starfield_dungeon_027_color.dds"
0x001856AC,"LS_Skill26","The Lasers skill increases the damage of energy weapons.","Data\textures\interface\loadscreens\generic\general\starfield_general_050_color.dds"
0x001856AD,"LS_Skill25","The Isolation skill increases weapon damage and armor when you don't have crew or companions.","Data\textures\interface\loadscreens\generic\general\starfield_general_002_color.dds"
0x001856AE,"LS_Skill24","The Incapacitation skill makes EM weapons more effective. EM damage is non-lethal to humans, and can lead to immobilization.","Data\textures\interface\loadscreens\generic\eye\starfield_eye_003_color.dds"
0x001856AF,"LS_Skill23","The first rank of the Gymnastics skill reduces fall damage, and unlocks the ability to ""combat slide.""","Data\textures\interface\loadscreens\generic\dungeon\starfield_dungeon_029_color.dds"
0x001856B0,"LS_Skill22","The Geology skill gives a chance to find even more inorganic components from ground objects.","Data\textures\interface\loadscreens\generic\landscape\starfield_landscape_009_color.dds"
0x001856B1,"LS_Skill21","The Fitness skill increases your available oxygen. ","Data\textures\interface\loadscreens\generic\general\starfield_general_038_color.dds"
0x001856B2,"LS_Skill20","The Environmental Conditioning skill decreases the amount of environmental damage taken.","Data\textures\interface\loadscreens\generic\landscape\starfield_landscape_015_color.dds"
0x001856B3,"LS_Skill19","The Energy Weapon Systems skill increases damage dealt by your ship's energy weapons. ","Data\textures\interface\loadscreens\generic\landscape\starfield_landscape_013_color.dds"
